205	Great Expectations (Penguin Classics)	13	014086041X	ADULT	CLASSIC	TAPE	009	999	13	5	0	N	BB	333						Read by Hugh Laurie|A mysterious benefactor provides Philip|Pirrip with the chance to escape his|poor upbringing. Aspiring to be a|gentleman, and encouraged by his|expectations of wealth, he abandons his|friends and moves to London. His|expectations prove to be unfounded,|however, and he must return home|penniless.
206	The Colour of Magic	14	0552152226	ADULT	FANTASY	CD	008	1499	10	5	0	N	NN	499						Read by Terry Pratchett|Twoflower was a tourist, the first ever|seen on the Discworld. Tourist,|Rlncewind decided, meant idiot.|Somewhere on the frontier between|thought and reality exists the|Discworld, a parallel time and place|which might sound and smell very much|like our own, but which looks completely|different. It plays by different rules.|Certainly it refuses to succumb to the|quaint notion that universes are ruled|by pure logic and the harmony of|numbers. But just because the Disc is|different doesn't mean that some things|don't stay the same. Its very existence|is about to be threatened by a strange|new blight: the arrival of the first|tourist, upon whose survival rests the|peace and prosperity of the land. But if|the person charged with maintaining that|survival in the face of robbers,|mercenaries and, well, Death is a|spectacularly inept wizard, a little|logic might turn out to be a very good|idea...
207	The Jungle Book: Selected Stories (Puffin Classics)	17	0140865543	JUNIOR	FICTION	TAPE	010	799	2	5		N	PP	266						Read by Tony Robinson|Tells of the classic adventures of|Mowgli, growing up in the jungle with|wolves as foster parents, Baloo the bear|and Bagheera the black panther as|friends and Shere Khan the tiger as his|mortal enemy.
208	Maskerade	14	0552153249	ADULT	FANTASY	CD	008	1499	4	5		N	BB	499						Read by Terry Pratchett|The show must go on, as murder, mayhem|and music run riot in the night The|Opera House, Ankh-Morpork...A huge,|rambling building, where masked figures|and hooded shadows do wicked deeds in|the wings...Where dying the death on|stage is a little bit more than a|metaphor...Where innocent young sopranos|are lured to their fateful destiny by an|evil mastermind in a hideously deformed|evening dress...Where...There's a couple|of old ladies in pointy hats eating|peanuts in the gods and looking up at|the big chandelier and saying things|like: 'There's an accident walting to|happen if ever I saw one.' Yes...Granny|Weatherwax and Nanny Ogg, the|Discworld's greatest witches, are back|for an innocent night at the opera. So|there's going to be trouble (but|nevertheless a good evening's|entertainment, with murders you can|really hum...)
209	The Light Fantastic	14	0552152234	ADULT	FANTASY	CD	008	1499	1	5		N	OGG	499						Read by Terry Pratchett|'What shall we do?' said Twoflower.|'Panic?' said Rincewind hopefully. He|always held that panic was the best|means of survival. When the very fabric|of time and space are about to be put|through the wringer - in this instance|by the imminent arrival of a very large|and determinedly oncoming meteorite -|circumstances require a very particular|type of hero. Sadly what the situation|does not need is a singularly inept|wizard, still recovering from the trauma|of falling off the edge of the world.|Equally it does not need one|well-meaning tourist and his luggage|which has a mind of its own. Which is a|shame because that's all there is...
210	Just So Stories: Unabridged (Puffin Classics)	17	0140865551	JUNIOR	FICTION	CD	010	799	3	5		N	PP	266						Read by Tony Robinson|This collection of stories reveals the|origins of the beasts of the sea, the|jungle, the desert and even of the|palaces of the East. It tells how the|elephant got his trunk, how the leopard|got his spots and how the humble|butterfly caused an uproar by stamping|his foot.
211	Elizabeth	89	000715478X	ADULT	BUSINESS	CD	004	1399	3	5		N	BB	466						Read by Patricia Hodge|The Virgin Queen, Gloriana, Good Queen|Bess; Elizabeth I holds a unique place|in the English imagination as one of the|nation's most powerful, charismatic and|successful monarchs. Elizabeth is|usually imagined as the icy, untouchable|figure memorably recreated on screen by|Bette Davis and Judi Dench, but that|vision of Elizabeth ignores the|turbulent years of her early life, from|her birth as the daughter of Henry VIII|and Anne Boleyn in 1533, until her|accession to the throne in 1558|following the death of her sister Mary.|It is these early years which are the|subject of David Starkey's fascinating|Elizabeth I, written to accompany his|television series about the life of|Elizabeth. |Starkey argues that in her|first 25 years Elizabeth "had|experienced every vicissitude of fortune|and ever extreme of condition. She had|been Princess and inheritrix of England,|and bastard and disinherited; the|nominated successor to the throne and an|accused traitor on the verge of|execution; showered with lands and|houses and a prisoner in the Tower". He|draws on his skills as a respected Tudor|historian to produce a deft account of|the religious, political and dynastic|maelstrom of mid-16th century England|that reads "like a historical thriller".|The book carefully picks its way through|the finer points of contemporary|religious conflict and the peculiarities|of Tudor court ceremony, whilst also|exploring the formation of Elizabeth's|character in relation to a murdered|mother, a charismatic father, a tortured|sister, and a predatory guardian. Highly|readable and written with verve and|pace, this is a fascinating account of|the young Elizabeth. --Jerry Brotton
212	Equal Rites	14	0552152242	ADULT	FANTASY	CD	008	1499	3	5		N	BB	499						Read by Terry Pratchett|They say that a little knowledge is a|dangerous thing, but it is not one half|so bad as a lot of ignorance. There are|some situations where the correct|response is to display the sort of|ignorance which happily and wilfully|flies in the face of the facts. In this|case, the birth of a baby girl, born a|wizard - by mistake. Everybody knows|that there's no such thing as a female|wizard. But now it's gone and happened,|there's nothing much anyone can do about|it. Let the battle of the sexes begin...
213	Raven's Gate (Power of Five S.)	90	1844280810	JUNIOR	FICTION	CD	030	1999	3	5		N	BB	666						Read by Anthony Horowitz|A sinister story of the supernatural;|first of five in a thrilling new series|by this number one best-selling author.|Matt has always known he has unusual|powers. Raised in foster care, he is|sent to Yorkshire on a rehabilitation|programme, only to find himself in the|midst of sinister goings-on. Matt|investigates and uncovers a terrible|secret - eight guardians are protecting|the world from the evil ones, beings|banished long ago by five children. But|devil worshippers want to let the evil|ones back in. As the story reaches its|climax, it looks like Matt has succeeded|in stopping them...or has he? Major|marketing campaign with 6-sheet|advertising to launch this gripping new|series. Guaranteed publicity coverage -|including radio and TV interviews.
214	Feet of Clay (Discworld S.)	14	0552153265	ADULT	FANTASY	CD	008	1499	1	5		N	NN	499						Read by Terry Pratchett|A Discworld Howdunnit Who's murdering|harmless old men? Who's poisoning the|Patrician? As autumn fogs hold|Ankh-Morpork in their grip, the City|Watch have to track down a murderer who|can't be seen. Maybe the golems know|something - but the solemn men of clay,|who work all day and night and are never|any trouble to anyone, have started to|commit suicide...It's not as if the|Watch hasn't got problems of its own.|There's a werewolf suffering from|Pre-Lunar Tension. Corporal Nobbs is|hobnobbing with the nobs, and there's|something really strange about the new|dwarf recruit, especially his earrings|and eyeshadow. Who can you trust when|there are mobs on the streets and|plotters in the dark and all the clues|point the wrong way? In the gloom of the|night, Watch Commander Sir Samuel Vimes|finds that the truth might not be out|there at all. It may be amongst the|words in the head. A chilling tale of|poison and pottery.
