	15510*29031.743*1
1499	14692*41910*001|14727*65304*001|14853*64434*001|14948*35592*001|15031*71988*001|15140*65613*001|15204*54950*001|15380*41910*001
2002	14830*68961*001|14981*62352*001|15003*32080*001|15143*67914*001|15329*26082*001|15330*71505*001
205	14404*33000*001|14516*61600*001|14550*40800*001|14727*60848*001|14751*58620*001|14807*55472*001|14862*31302*001|15064*59907*001|15150*44343*001|15214*42520*001
2505	14946*52573*001|15093*50265*001
3008	15010*35226*001|15055*55380*001
3511	15135*59232*001
4014	15220*49608*001|15314*71946*001
4517	15329*63126*001
708	14536*54450*001|14688*35226*001|14812*49968*001|14978*45052*001|15024*68646*001|15251*36208*001|15316*50983*001|15351*39328*001
1500	14692*45252*001|15347*26083*001
2003	14831*31236*001|14867*42750*001|15283*51936*001|15364*35100*001
206	14404*48600*001|14532*66150*001|14548*48600*001|14625*61200*001|14637*36000*001|14678*72000*001|14811*42750*001|14824*59907*001|14866*71982*001|14963*32994*001|15068*61962*001|15198*51180*001
2506	14946*59637*001|15227*70050*001
3009	15010*41910*001|15079*31652*001|15251*66480*001|15354*45900*001|15372*26100*001
3512	15135*61359*001|15314*42399*001|15323*64008*001
4015	15220*63846*001
4518	15330*27846*001|15358*34200*001
709	14536*72000*001|14617*43200*001|14646*48600*001|14647*42441*001|14777*27428*001|14845*50853*001|14866*41472*001|15068*70317*001|15245*59778*001|15251*52720*001|15366*34200*001
1501	14692*48594*001|14787*65304*001|14906*46470*001|14912*71994*001|14933*29656*001|15344*47700*001
2004	14831*41799*001|14884*63846*001|14955*65902*001|14970*65902*001|14995*56848*001|15083*40239*001|15320*37107*001
207	14404*72000*001|14503*66800*001|14852*40290*001|14935*45252*001|15235*62250*001
2507	14946*63169*001
3010	15010*53607*001|15132*46470*001|15205*68500*001|15291*34560*001
3513	15136*29454*001|15319*67536*001
4016	15221*29100*001
4519	15330*36666*001
710	14537*31050*001|14575*45255*001|14597*41910*001|14675*51936*001|14723*39240*001|14912*67740*001|14961*68467*001|15216*43050*001
1502	14692*61962*001|14847*56889*001|14882*42750*001|14988*30872*001|15054*71979*001|15321*40495*001|15325*70182*001|15328*49896*001|15335*54747*001
2005	14831*47835*001|14947*40788*001|14969*70232*001|15207*26066*001|15212*55800*001|15325*66654*001|15354*29700*001
208	14405*33000*001|14431*40800*001|14503*61600*001|14601*65304*001|14824*53871*001|14831*46326*001|14849*59907*001|15141*37962*001|15311*44163*001|15314*66654*001|15363*52573*001
2508	14946*68467*001|15113*28542*001|15341*53865*001
3011	15010*55278*001|15197*56376*001
3514	15136*44343*001|15369*49924*001
4017	15221*31050*001|15321*53605*001|15376*32400*001
4520	15330*41958*001|15352*36000*001
711	14537*54450*001|14607*45252*001|14668*49830*001|14673*28542*001|14791*43024*001|15042*58398*001|15106*48594*001|15144*67740*001|15158*36900*001|15203*66768*001|15216*49850*001
1000	14598*38568*001|14693*68646*001|14976*26966*001|15098*71988*001|15308*58620*001|15335*45045*001
1503	14693*38568*001|14779*65304*001|15287*56392*001
2006	14831*52362*001|15085*26871*001|15318*58716*001|15342*70200*001
209	14405*40800*001|14560*58625*001|14659*59000*001|14711*56392*001|14905*54978*001|14933*67532*001|14971*64170*001|14974*45118*001|15010*71988*001|15105*72000*001|15189*39922*001|15311*34020*001
2509	14946*71116*001
3012	15010*65304*001|15043*35763*001|15205*41654*001|15244*48600*001|15281*50940*001|15359*55222*001
3515	15136*69867*001|15279*38960*001
4018	15221*33000*001|15335*26523*001
4521	15330*42840*001
712	14538*31050*001|14617*54000*001|14650*43400*001|14721*48600*001|14805*48600*001|14949*61572*001|14952*38190*001|15082*68646*001|15241*57744*001|15319*71946*001
1001	14598*48594*001|14684*65304*001|14690*50400*001|14715*36340*001|14775*51936*001|14917*57105*001|14968*65036*001|15058*41799*001|15094*55278*001|15206*33860*001|15305*46260*001|15333*45486*001|15344*46800*001|15364*60300*001
