14456*72000*001	268	DONE		1	FIRST	599	14457	1		281|242	2|1	799|1999	Z|N	1|1		0|17.5
14810*30704*001	1123	DONE		2	FREE	0	14810	8		106|147|95|285|324|101|350|302	1|1|1|2|1|1|1|1	1399|1799|999|1299|599|899|899|699	N|N|N|Z|Z|N|Z|Z	1|1|1|1|1|1|1|1		17.5|17.5|17.5|0|0|17.5|0|0
14998*56396*001	2195	DONE		2	FREE	0	15003	6		127|35|156	1|1|2	2499|799|1499	N|N|N	1|1|1		17.5|17.5|17.5
15192*29450*001	2893	DONE		2	FREE	0	15196	2		69|342|321|73|339|111	2|1|2|2|1|2	1599|799|699|499|374.25|1499	N|Z|Z|N|Z|N	1|1|1|1|1|1	||||PENGUIN1	17.5|0|0|17.5|0|17.5
15337*52101*001	1978	DONE		2	FREE	0	15337	7		298|68|225|73|212|46	1|2|2|1|2|1	699|999|1499|499|1499|3195	Z|N|N|N|N|N	1|1|1|1|1|1		0|17.5|17.5|17.5|17.5|17.5
14817*31050*001	1028	DONE		2	FREE	0	14823	9		216|291|115|308|170|77|195|329|225	1|1|1|1|2|1|2|2|2	1499|399.5|1499|699|1300|499|1188|449.25|1499	N|Z|N|Z|N|N|N|Z|N	1|1|1|1|1|1|1|1|1	|PRATCHETT1||||||PENGUIN1	17.5|0|17.5|0|17.5|17.5|17.5|0|17.5
14985*52720*001	2793	DONE		1	FREE	0	14989	8		179|347|145	2|1|1	899|1599|1999	N|Z|N	1|1|1		17.5|0|17.5
15037*34254*001	1136	DONE		2	FIRST	599	15039	1		298	1	699	Z	1		0
15053*40290*001	1597	DONE		1	FREE	0	15055	3		19|342|38|317|46|163|173	2|2|1|1|1|1|2	999|799|1399|699|3195|1999|1299	N|Z|N|Z|N|N|N	1|1|1|1|1|1|1		17.5|0|17.5|0|17.5|17.5|17.5
15187*43024*001	3749	DONE		2	FREE	0	15188	9		109|241|49	1|2|1	1399|8995|999	N|N|N	1|1|1		17.5|17.5|17.5
15341*58275*001	1901	DONE		2	FREE	0	15347	7		207|127|222|174|179|313|159|333|260	2|2|1|2|1|1|2|2|2	799|2499|1099|1499|899|699|2199|799|699	N|N|N|N|N|Z|N|Z|Z	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|0|17.5|0|0
