		206
001	BBC Audiobooks	1|2|7|8|10|12|13|14|21|22|27|37|40|43|47|50|62|82|84|119|120|127|147|150|159|161|165|181|185|186|188|204|218|219|223|227|236|241|244|246
002	Time Warner AudioBooks	3|9|16|91|97|170
003	Puffin Books	4|15|51|52|58|61|83|88|141|142|149|153|157|189|194|248|271|273|275|277|279|296|297|298|299
004	HarperCollins	5|6|25|26|34|90|92|98|100|103|106|108|113|114|118|122|128|132|133|137|143|144|145|155|160|168|171|180|182|184|211|233|237|278|295|321|322|323|345|346|347|348|349|350
005	Financial Times Prentice Hall	11
006	Random House Children's Books	17|123|135
007	CSA WORD	18|28|69|193|228
008	Corgi Audio	19|32|49|71|139|164|166|174|178|192|198|208|209|212|214|216|217|225|230|235|239|250
009	Penguin Audiobooks	20|121|190|202|205|215
010	Penguin Children's Audiobooks	23|30|35|42|48|53|54|59|60|66|73|77|87|94|125|126|136|187|207|210|226
011	Michael Ducarel	24
012	Naxos AudioBooks	29|36|56|63|65|67|68|72|76|80|109|151|162|172|201|222|224|229|232
013	Franklin Covey Co	31
014	Macmillan Audio Books	33|57|197
015	ISIS Audio Books	38|46|93|102|138|154|199
016	Orion	39|55|64|70|81|89|95|99|105|107|173|177|196|203|314|315|316
017	Collins	41|45|74|96|101|104|111|124|129|140|158|163|169|179|231|234|238|243|247
018	Bolinda Audio	44
019	Hodder Arnold	75
020	Hodder & Stoughton Audio Books	78|134|146|156|183|220
021	Random House Audiobooks	79|112|115|131
022	Simon & Schuster Audio	85|176|191|195
023	Headline Book Publishing Ltd	86
024	Chivers Audio Books	110|175|221
025	Bloomsbury	116|117|303|304|305|306|307|308|309
026	Pavilion Records	130
027	Ladybird Books	148|152
028	Soundings	167
029	CRS Records	200
030	Walker Books	213
031	British Library Publishing Division	240
032	Assembled Stories	242
033	Penguin Books Ltd	245
034	Penton Overseas Inc	249
035	Quercus Publishing	251|252|281
036	Corgi Books	253|289|290|291|292|293|294
037	Gollancz	254|269
038	Orion Publishing	255|256|266|268|270
039	ATOM	257|258|259|260|265
040	Macmillan	261|262|263|264
041	Allison & Busby	267
042	Fourth Estate	272
043	Harper	274
044	Pocket Books	276
045	Doubleday	280
046	Black Swan	282
047	Hodder Paperback	283|284
048	Hutchinson	285
049	Pan Books	286|287|288
050	Egmont Books	300|301|302
051	Penguin Books	310
052	Faber and Faber	311|312|313
053	Arrow Books	317|318|319|320
054	Vintage Classics	324|328
055	Penguin Classics	325|326|327|329|330|331|338|339|340|341|343|344
056	Hodder	332
057	Sceptre	333|334|335|336|337
058	Heinemann	342
