1499	14743	OGG	599	14745						26|128|132|243	0007201826|0007207077|0007162294|0001034162	466|2250|466|199	N|N|N|N	5|5|5|5
2002	14868	BB	1599	14871						150|165|172|188|312|346	1855496488|0563510471|9626341203|0563536985|9780571228577|9780261102736	3250|499|666|533|399|399	N|N|N|N|Z|Z	5|5|5|5|10|10
205	14400	OGG	599	14401						209	0552152234	499	N	5
2505	14995	BB	1599	14997						65|67|86|105|130|187|191|202|211|213|264|277	9626343559|9626347635|0755329015|0752861417|1899644571|0140866515|074350917X|0141804637|000715478X|1844280810|9780330512855|9780141328546	999|299|599|566|350|266|438|433|466|666|399|399	N|N|N|N|N|N|N|N|N|N|Z|Z	5|5|5|5|5|5|5|5|5|5|10|10	||5
3008	15121	OGG	599	15123						43	0563388609	433	N	5
4014	15373	OGG	599	15374						43|93|132|289	0563388609|1856959767|0007162294|9780552153379	433|2647|466|399	N|N|N|Z	5|5|5|10
3511	15247	OGG	599	15251						43|68|75|93|97|153|154|170|186|209|307	0563388609|9626346108|1840329181|1856959767|1594830371|0141805552|0753104296|140550028X|0563407697|0552152234|9780747532743	433|333|499|2647|466|433|1897|433|366|499|399	N|N|N|N|N|N|N|N|N|N|Z	5|5|5|5|5|5|5|5|5|5|10
708	14541	BB	1599	14542						52|157|163|187|188|312	0141805889|0141805560|0007158785|0140866515|0563536985|9780571228577	433|433|666|266|533|399	N|N|N|N|N|Z	5|5|5|5|5|10
1500	14743	PP		14747						39|224	0752871994|9626341823	433|466	N|N	5|5
2003	14869	BB	1599	14869						4|113|157|174|191|213|237|249|253|273|295	0141805293|0007207050|0141805560|0552153176|074350917X|1844280810|0007103972|1560150475|9780552149525|9780141331867|9780007315826	199|533|433|499|438|666|466|417|399|399|699	N|N|N|N|N|N|N|N|Z|Z|Z	5|5|5|5|5|5|5|5|10|10|10
206	14401	OGG	599	14404						152|173	1904351840|0752873253	166|433	N|N	5|5
2506	14995	PP		14999						82|94|125|194|217|254|338	1855499932|0140868380|0141800925|0141805633|0552152250|9780575085527|9780140620931	666|166|166|199|499|399|299	N|N|N|N|N|Z|Z	5|10|5|5|5|10|10
3009	15121	NN	2000	15125						55|100|145|322	0752860828|0007207026|0007120575|9780007119295	433|533|666|399	N|N|N|Z	5|5|5|10
4015	15373	NN	2000	15376						54|55|81|260|320|344	0140868313|0752860828|0752873083|9781904233657|9780099534822|9780141182636	166|433|499|399|399|399	N|N|N|Z|Z|Z	5|5|5|10|10|10
3512	15247	BB	1599	15250						46|80|83|124|156|211|249|263|291|301|303|331	075311934X|9626347651|0141805935|0007214197|1840329319|000715478X|1560150475|9780330512862|9780552154321|9781405249546|9780747595830|9780140620832	1597|307|366|499|499|466|417|399|399|399|499|299	N|N|N|N|N|N|N|Z|Z|Z|Z|Z	5|5|5|5|5|5|5|10|10|10|10|10	|||5
709	14541	OGG	599	14542						84|136|329	1855496879|0140866930|9780140620528	3750|266|299	N|N|Z	5|5|10
1501	14743	BB	1599	14746						69|134|157|205	1904605184|1859984827|0141805560|014086041X	533|233|433|333	N|N|N|N	5|5|5|5
2004	14869	PP		14873						21|37|92|94	0563525428|0563527048|0007195818|0140868380	533|599|499|166	N|N|N|N	5|5|5|5
207	14401	BB	1599	14402						187	0140866515	266	N	5
2507	14996	NN	2000	15000						1|11|54|78|95|119|141|164|215|274|288|297|341	0563525452|0273663801|0140868313|0755329007|0752856820|1855498472|0141806044|0552146536|0140861491|9780007354849|9780330473248|9780141315492|9780140620795	433|499|166|499|333|533|433|366|433|499|399|399|299	N|N|N|N|N|N|N|N|N|Z|Z|Z|Z	5|5|5|5|5|5|5|5|5|10|10|10|10
3010	15122	OGG	599	15124						29|98|122|329	9626343427|0001046594|0007207069|9780140620528	366|299|533|299	N|N|N|Z	5|5|5|10
4016	15374	OGG	599	15375						7|8|84|159|209|243	0563510196|1855496755|1855496879|1855494981|0552152234|0001034162	433|299|3750|879|499|199	N|N|N|N|N|N	5|5|5|5|5|5
3513	15248	PP		15248						2|17|41|94|158|166|207|221|242|306	0563495421|1856563650|0007161115|0140868380|0007158777|0552153664|0140865543|0754054233|1860154549|9780747550990	433|299|366|166|533|566|266|2699|666|399	N|N|N|N|N|N|N|N|N|Z	5|5|5|5|5|5|5|5|5|10
710	14542	BB	1599	14542						4|114|124	0141805293|0007206542|0007214197	199|499|499	N|N|N	5|5|5
1502	14743	NN	2000	14743						145|168	0007120575|0007154720	666|533	N|N	5|5
2005	14869	NN	2000	14871						72|99|100|181|198|199|219|232|236|283|297|299|308	9626346116|0752873113|0007207026|0563524758|0552153222|075312369X|185549812X|9626340819|1855499215|9780340896983|9780141315492|9780141317083|9780747546290	299|566|533|366|499|2475|666|566|3999|399|399|299|399	N|N|N|N|N|N|N|N|N|Z|Z|Z|Z	5|5|5|5|5|5|5|5|5|10|10|10|10
208	14402	PP		14404						42|57	0141804343|1405052708	266|433	N|N	5|5
